Data;Vendas industriais - ventiladores - qde. - Unidade - Associação Nacional de Fabricantes de Produtos Eletroeletrônicos (Eletros) - ELET12_VENT12;
1994.01;148304;
1994.02;169409;
1994.03;67256;
1994.04;43751;
1994.05;25553;
1994.06;35059;
1994.07;55564;
1994.08;292820;
1994.09;378984;
1994.10;318465;
1994.11;384663;
1994.12;385000;
1995.01;295432;
1995.02;212084;
1995.03;153018;
1995.04;96367;
1995.05;80138;
1995.06;84599;
1995.07;41520;
1995.08;354663;
1995.09;303165;
1995.10;258335;
1995.11;325265;
1995.12;187194;
1996.01;253567;
1996.02;178838;
1996.03;122159;
1996.04;103431;
1996.05;168262;
1996.06;102983;
1996.07;95442;
1996.08;306400;
1996.09;435037;
1996.10;382815;
1996.11;332986;
1996.12;265807;
1997.01;304137;
1997.02;98888;
1997.03;109450;
1997.04;123259;
1997.05;80714;
1997.06;73057;
1997.07;124200;
1997.08;254672;
1997.09;328833;
1997.10;404319;
1997.11;435679;
1997.12;279595;
1998.01;407867;
1998.02;341448;
1998.03;299121;
1998.04;187253;
1998.05;116900;
1998.06;68863;
1998.07;100748;
1998.08;400649;
1998.09;286432;
1998.10;286873;
1998.11;293479;
1998.12;402860;
1999.01;250905;
1999.02;63422;
1999.03;66120;
1999.04;49588;
1999.05;54504;
1999.06;62553;
1999.07;69246;
1999.08;148383;
1999.09;249345;
1999.10;279172;
1999.11;298806;
1999.12;323565;
2000.01;344115;
2000.02;200220;
2000.03;86892;
2000.04;43048;
2000.05;63633;
2000.06;93316;
2000.07;99517;
2000.08;179568;
2000.09;318405;
2000.10;506912;
2000.11;426926;
2000.12;405698;
2001.01;402730;
2001.02;247229;
2001.03;145224;
2001.04;82591;
2001.05;156491;
2001.06;108760;
2001.07;89149;
2001.08;120534;
2001.09;316391;
2001.10;366506;
2001.11;407839;
2001.12;317434;
